YearStart,YearEnd,LocationAbbr,LocationDesc,Topic,Question
2018,2018,DE,Delaware,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2013,2013,KY,Kentucky,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2017,2017,KY,Kentucky,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2018,2018,LA,Louisiana,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2017,2017,MD,Maryland,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2014,2014,NC,North Carolina,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2017,2017,NC,North Carolina,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2016,2016,ND,North Dakota,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2014,2014,NM,New Mexico,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2017,2017,NM,New Mexico,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2014,2014,PR,Puerto Rico,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2016,2016,RI,Rhode Island,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2018,2018,RI,Rhode Island,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2015,2015,VI,Virgin Islands,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis
2020,2020,US,United States,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years
2018,2018,CO,Colorado,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years
2013,2013,DE,Delaware,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years
2017,2017,DE,Delaware,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years
2013,2013,ID,Idaho,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years
2017,2017,ID,Idaho,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years
2016,2016,ID,Idaho,Cardiovascular Disease,Mortality from heart failure
2012,2012,MA,Massachusetts,Cardiovascular Disease,Mortality from heart failure
2014,2014,MD,Maryland,Cardiovascular Disease,Mortality from heart failure
2014,2014,MS,Mississippi,Cardiovascular Disease,Mortality from heart failure
2011,2011,SD,South Dakota,Cardiovascular Disease,Mortality from heart failure
2018,2018,VA,Virginia,Cardiovascular Disease,Mortality from heart failure
2016,2016,IA,Iowa,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years
2019,2019,UT,Utah,Cardiovascular Disease,Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years
2014,2014,MN,Minnesota,Cardiovascular Disease,Hospitalization for stroke
2015,2015,US,United States,Cardiovascular Disease,Hospitalization for stroke
2016,2016,VT,Vermont,Cardiovascular Disease,Hospitalization for stroke
2011,2011,US,United States,Cardiovascular Disease,Pre-pregnancy hypertension
2018,2018,SC,South Carolina,Diabetes,Mortality due to diabetes reported as any listed cause of death
2018,2018,VT,Vermont,Diabetes,Mortality due to diabetes reported as any listed cause of death
2014,2014,WI,Wisconsin,Diabetes,Mortality due to diabetes reported as any listed cause of death
2011,2011,AL,Alabama,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2012,2012,AL,Alabama,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2013,2013,AL,Alabama,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2016,2016,AL,Alabama,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2017,2017,AL,Alabama,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2017,2017,AZ,Arizona,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2017,2017,IA,Iowa,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2012,2012,IL,Illinois,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2015,2015,IL,Illinois,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2010,2010,IN,Indiana,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2020,2020,LA,Louisiana,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2013,2013,MD,Maryland,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2014,2014,MD,Maryland,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2011,2011,MI,Michigan,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2017,2017,UT,Utah,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death
2017,2017,FL,Florida,Diabetes,Amputation of a lower extremity attributable to diabetes
2017,2017,LA,Louisiana,Diabetes,Amputation of a lower extremity attributable to diabetes
2014,2014,MN,Minnesota,Diabetes,Amputation of a lower extremity attributable to diabetes
2010,2010,NE,Nebraska,Diabetes,Amputation of a lower extremity attributable to diabetes
2014,2014,NE,Nebraska,Diabetes,Amputation of a lower extremity attributable to diabetes
2018,2018,NV,Nevada,Diabetes,Amputation of a lower extremity attributable to diabetes
2014,2014,OK,Oklahoma,Diabetes,Amputation of a lower extremity attributable to diabetes
2013,2013,OR,Oregon,Diabetes,Amputation of a lower extremity attributable to diabetes
2010,2010,SD,South Dakota,Diabetes,Amputation of a lower extremity attributable to diabetes
2016,2016,VA,Virginia,Diabetes,Amputation of a lower extremity attributable to diabetes
2015,2015,GU,Guam,Diabetes,Hospitalization with diabetes as a listed diagnosis
2016,2016,GU,Guam,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,ID,Idaho,Diabetes,Hospitalization with diabetes as a listed diagnosis
2016,2016,MS,Mississippi,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,NJ,New Jersey,Diabetes,Hospitalization with diabetes as a listed diagnosis
2010,2010,NM,New Mexico,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,OH,Ohio,Diabetes,Hospitalization with diabetes as a listed diagnosis
2013,2013,SC,South Carolina,Diabetes,Hospitalization with diabetes as a listed diagnosis
2015,2015,UT,Utah,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,WA,Washington,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,WI,Wisconsin,Diabetes,Hospitalization with diabetes as a listed diagnosis
2018,2018,US,United States,Disability,Disability among adults aged >= 65 years
2014,2014,ID,Idaho,Asthma,Asthma mortality rate
2012,2012,AL,Alabama,Asthma,Asthma mortality rate
2010,2010,MO,Missouri,Asthma,Asthma mortality rate
2012,2012,CA,California,Asthma,Asthma mortality rate
2017,2017,MD,Maryland,Asthma,Asthma mortality rate
2012,2012,AZ,Arizona,Asthma,Asthma mortality rate
2010,2010,WI,Wisconsin,Asthma,Asthma mortality rate
2012,2012,WA,Washington,Asthma,Asthma mortality rate
2012,2012,US,United States,Reproductive Health,Folic acid supplementation
2019,2019,US,United States,Tobacco,Sale of cigarette packs
2017,2017,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2012,2012,NM,New Mexico,Alcohol,Chronic liver disease mortality
2015,2015,CO,Colorado,Alcohol,Alcohol use before pregnancy
2020,2020,HI,Hawaii,Alcohol,Chronic liver disease mortality
2013,2013,IL,Illinois,Alcohol,Alcohol use among youth
2011,2011,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2017,2017,ME,Maine,Alcohol,Alcohol use among youth
2012,2012,MI,Michigan,Alcohol,Local authority to regulate alcohol outlet density
2013,2013,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2019,2019,OK,Oklahoma,Alcohol,Binge drinking prevalence among youth
2013,2013,AK,Alaska,Alcohol,Chronic liver disease mortality
2012,2012,CT,Connecticut,Alcohol,Chronic liver disease mortality
2019,2019,WI,Wisconsin,Alcohol,Binge drinking prevalence among youth
2010,2010,OH,Ohio,Alcohol,Chronic liver disease mortality
2020,2020,KS,Kansas,Alcohol,Chronic liver disease mortality
2013,2013,MN,Minnesota,Alcohol,Chronic liver disease mortality
2013,2013,NC,North Carolina,Alcohol,Chronic liver disease mortality
2019,2019,CO,Colorado,Alcohol,Alcohol use before pregnancy
2019,2019,DE,Delaware,Alcohol,Chronic liver disease mortality
2019,2019,ME,Maine,Alcohol,Alcohol use before pregnancy
2010,2010,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2017,2017,GA,Georgia,Alcohol,Chronic liver disease mortality
2017,2017,PR,Puerto Rico,Alcohol,Binge drinking prevalence among youth
2013,2013,OH,Ohio,Alcohol,Alcohol use among youth
2019,2019,US,United States,Alcohol,Alcohol use among youth
2017,2017,TN,Tennessee,Alcohol,Binge drinking prevalence among youth
2017,2017,WY,Wyoming,Alcohol,Binge drinking prevalence among youth
2013,2013,MT,Montana,Alcohol,Alcohol use among youth
2011,2011,KS,Kansas,Alcohol,Chronic liver disease mortality
2013,2013,MA,Massachusetts,Alcohol,Alcohol use before pregnancy
2020,2020,CT,Connecticut,Alcohol,Chronic liver disease mortality
2016,2016,NY,New York,Alcohol,Chronic liver disease mortality
2012,2012,KS,Kansas,Alcohol,Chronic liver disease mortality
2020,2020,ID,Idaho,Alcohol,Chronic liver disease mortality
2016,2016,IL,Illinois,Alcohol,Alcohol use before pregnancy
2018,2018,NC,North Carolina,Alcohol,Chronic liver disease mortality
2014,2014,AL,Alabama,Alcohol,Chronic liver disease mortality
2016,2016,ND,North Dakota,Alcohol,Chronic liver disease mortality
2014,2014,PA,Pennsylvania,Alcohol,Alcohol use before pregnancy
2016,2016,US,United States,Alcohol,Alcohol use before pregnancy
2016,2016,OR,Oregon,Alcohol,Chronic liver disease mortality
2015,2015,TN,Tennessee,Alcohol,Alcohol use among youth
2020,2020,HI,Hawaii,Alcohol,Chronic liver disease mortality
2019,2019,RI,Rhode Island,Alcohol,Alcohol use among youth
2018,2018,US,United States,Alcohol,Alcohol use before pregnancy
2020,2020,HI,Hawaii,Alcohol,Alcohol use before pregnancy
2012,2012,IA,Iowa,Alcohol,Chronic liver disease mortality
2018,2018,OH,Ohio,Alcohol,Chronic liver disease mortality
2020,2020,IL,Illinois,Alcohol,Chronic liver disease mortality
2013,2013,MA,Massachusetts,Alcohol,Alcohol use among youth
2012,2012,CT,Connecticut,Alcohol,Chronic liver disease mortality
2020,2020,OR,Oregon,Alcohol,Chronic liver disease mortality
2011,2011,IA,Iowa,Alcohol,Chronic liver disease mortality
2018,2018,WI,Wisconsin,Alcohol,Alcohol use before pregnancy
2018,2018,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2017,2017,NC,North Carolina,Alcohol,Chronic liver disease mortality
2013,2013,WA,Washington,Alcohol,Alcohol use before pregnancy
2012,2012,RI,Rhode Island,Alcohol,Alcohol use before pregnancy
2017,2017,WV,West Virginia,Alcohol,Alcohol use among youth
2019,2019,PA,Pennsylvania,Alcohol,Binge drinking prevalence among youth
2018,2018,ME,Maine,Alcohol,Chronic liver disease mortality
2017,2017,OH,Ohio,Alcohol,Alcohol use among youth
2017,2017,NY,New York,Alcohol,Chronic liver disease mortality
2015,2015,LA,Louisiana,Alcohol,Chronic liver disease mortality
2018,2018,ND,North Dakota,Alcohol,Chronic liver disease mortality
2017,2017,VA,Virginia,Alcohol,Alcohol use among youth
2015,2015,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2019,2019,AR,Arkansas,Alcohol,Alcohol use before pregnancy
2012,2012,CA,California,Alcohol,Chronic liver disease mortality
2017,2017,SC,South Carolina,Alcohol,Binge drinking prevalence among youth
2020,2020,NE,Nebraska,Alcohol,Chronic liver disease mortality
2012,2012,ID,Idaho,Alcohol,Chronic liver disease mortality
2019,2019,PR,Puerto Rico,Alcohol,Alcohol use before pregnancy
2019,2019,OR,Oregon,Alcohol,Alcohol use among youth
2013,2013,NY,New York,Alcohol,Chronic liver disease mortality
2015,2015,CT,Connecticut,Alcohol,Chronic liver disease mortality
2017,2017,LA,Louisiana,Alcohol,Chronic liver disease mortality
2015,2015,OR,Oregon,Alcohol,Chronic liver disease mortality
2017,2017,OH,Ohio,Alcohol,Binge drinking prevalence among youth
2015,2015,AR,Arkansas,Alcohol,Chronic liver disease mortality
2017,2017,ID,Idaho,Alcohol,Alcohol use among youth
2012,2012,NJ,New Jersey,Alcohol,Chronic liver disease mortality
2013,2013,FL,Florida,Alcohol,Chronic liver disease mortality
2015,2015,PA,Pennsylvania,Alcohol,Alcohol use before pregnancy
2019,2019,ME,Maine,Alcohol,Binge drinking prevalence among youth
2018,2018,KY,Kentucky,Alcohol,Chronic liver disease mortality
2016,2016,AR,Arkansas,Alcohol,Chronic liver disease mortality
2019,2019,NE,Nebraska,Alcohol,Chronic liver disease mortality
2011,2011,IL,Illinois,Alcohol,Chronic liver disease mortality
2017,2017,UT,Utah,Alcohol,Binge drinking prevalence among youth
2018,2018,CA,California,Alcohol,Chronic liver disease mortality
2014,2014,IL,Illinois,Alcohol,Alcohol use before pregnancy
2017,2017,NM,New Mexico,Alcohol,Chronic liver disease mortality
2014,2014,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2016,2016,LA,Louisiana,Alcohol,Chronic liver disease mortality
2017,2017,AL,Alabama,Alcohol,Chronic liver disease mortality
2019,2019,MS,Mississippi,Alcohol,Alcohol use among youth
2018,2018,AK,Alaska,Alcohol,Chronic liver disease mortality
2011,2011,ND,North Dakota,Alcohol,Chronic liver disease mortality
2019,2019,PR,Puerto Rico,Alcohol,Alcohol use among youth
2012,2012,ND,North Dakota,Alcohol,Chronic liver disease mortality
2019,2019,CO,Colorado,Alcohol,Chronic liver disease mortality
2013,2013,ND,North Dakota,Alcohol,Chronic liver disease mortality
2011,2011,GA,Georgia,Alcohol,Chronic liver disease mortality
2020,2020,MO,Missouri,Alcohol,Chronic liver disease mortality
2015,2015,CT,Connecticut,Alcohol,Alcohol use among youth
2017,2017,MD,Maryland,Alcohol,Binge drinking prevalence among youth
2014,2014,ID,Idaho,Alcohol,Chronic liver disease mortality
2019,2019,KS,Kansas,Alcohol,Chronic liver disease mortality
2018,2018,KY,Kentucky,Alcohol,Alcohol use before pregnancy
2017,2017,OK,Oklahoma,Alcohol,Alcohol use among youth
2010,2010,MT,Montana,Alcohol,Chronic liver disease mortality
2015,2015,DC,District of Columbia,Alcohol,Binge drinking prevalence among youth
2020,2020,US,United States,Alcohol,Local authority to regulate alcohol outlet density
2015,2015,MT,Montana,Alcohol,Chronic liver disease mortality
2016,2016,AZ,Arizona,Alcohol,Chronic liver disease mortality
2010,2010,MT,Montana,Alcohol,Chronic liver disease mortality
2014,2014,AR,Arkansas,Alcohol,Chronic liver disease mortality
2020,2020,MO,Missouri,Alcohol,Chronic liver disease mortality
2012,2012,MD,Maryland,Alcohol,Alcohol use before pregnancy
2017,2017,MS,Mississippi,Alcohol,Chronic liver disease mortality
2019,2019,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2019,2019,WA,Washington,Alcohol,Alcohol use among youth
2013,2013,NJ,New Jersey,Alcohol,Alcohol use among youth
2012,2012,KY,Kentucky,Alcohol,Chronic liver disease mortality
2016,2016,KY,Kentucky,Alcohol,Chronic liver disease mortality
2017,2017,ME,Maine,Alcohol,Chronic liver disease mortality
2015,2015,NH,New Hampshire,Alcohol,Alcohol use among youth
2020,2020,DE,Delaware,Alcohol,Alcohol use before pregnancy
2012,2012,DE,Delaware,Alcohol,Alcohol use before pregnancy
2012,2012,DE,Delaware,Alcohol,Chronic liver disease mortality
2020,2020,WV,West Virginia,Alcohol,Alcohol use before pregnancy
2015,2015,MI,Michigan,Alcohol,Alcohol use before pregnancy
2015,2015,TN,Tennessee,Alcohol,Alcohol use before pregnancy
2014,2014,WA,Washington,Alcohol,Alcohol use before pregnancy
2014,2014,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2014,2014,IN,Indiana,Alcohol,Chronic liver disease mortality
2012,2012,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2020,2020,NE,Nebraska,Alcohol,Alcohol use before pregnancy
2019,2019,IL,Illinois,Alcohol,Chronic liver disease mortality
2018,2018,NM,New Mexico,Alcohol,Chronic liver disease mortality
2017,2017,KY,Kentucky,Alcohol,Alcohol use among youth
2018,2018,RI,Rhode Island,Alcohol,Alcohol use before pregnancy
2015,2015,AK,Alaska,Alcohol,Chronic liver disease mortality
2016,2016,WA,Washington,Alcohol,Alcohol use before pregnancy
2017,2017,CA,California,Alcohol,Chronic liver disease mortality
2018,2018,IN,Indiana,Alcohol,Chronic liver disease mortality
2013,2013,OR,Oregon,Alcohol,Chronic liver disease mortality
2011,2011,MA,Massachusetts,Alcohol,Chronic liver disease mortality
2017,2017,DE,Delaware,Alcohol,Alcohol use before pregnancy
2020,2020,NM,New Mexico,Alcohol,Local authority to regulate alcohol outlet density
2016,2016,DE,Delaware,Alcohol,Alcohol use before pregnancy
2017,2017,IA,Iowa,Alcohol,Chronic liver disease mortality
2019,2019,ME,Maine,Alcohol,Alcohol use before pregnancy
2020,2020,AZ,Arizona,Alcohol,Alcohol use before pregnancy
2017,2017,CT,Connecticut,Alcohol,Binge drinking prevalence among youth
2020,2020,MT,Montana,Alcohol,Chronic liver disease mortality
2017,2017,VI,Virgin Islands,Alcohol,Binge drinking prevalence among youth
2015,2015,CA,California,Alcohol,Alcohol use before pregnancy
2015,2015,PR,Puerto Rico,Alcohol,Alcohol use among youth
2010,2010,DE,Delaware,Alcohol,Chronic liver disease mortality
2012,2012,NH,New Hampshire,Alcohol,Chronic liver disease mortality
2017,2017,GU,Guam,Alcohol,Binge drinking prevalence among youth
2017,2017,AL,Alabama,Alcohol,Alcohol use before pregnancy
2019,2019,MI,Michigan,Alcohol,Binge drinking prevalence among youth
2012,2012,FL,Florida,Alcohol,Chronic liver disease mortality
2015,2015,MT,Montana,Alcohol,Chronic liver disease mortality
2019,2019,OR,Oregon,Alcohol,Chronic liver disease mortality
2019,2019,KS,Kansas,Alcohol,Chronic liver disease mortality
2015,2015,DE,Delaware,Alcohol,Chronic liver disease mortality
2010,2010,AZ,Arizona,Alcohol,Chronic liver disease mortality
2018,2018,MD,Maryland,Alcohol,Chronic liver disease mortality
2020,2020,DC,District of Columbia,Alcohol,Chronic liver disease mortality
2017,2017,AK,Alaska,Alcohol,Chronic liver disease mortality
2019,2019,TX,Texas,Alcohol,Alcohol use among youth
2020,2020,AR,Arkansas,Alcohol,Chronic liver disease mortality
2016,2016,LA,Louisiana,Alcohol,Alcohol use before pregnancy
2017,2017,NM,New Mexico,Alcohol,Alcohol use among youth
2011,2011,NE,Nebraska,Alcohol,Chronic liver disease mortality
2011,2011,OH,Ohio,Alcohol,Chronic liver disease mortality
2017,2017,FL,Florida,Alcohol,Chronic liver disease mortality
2018,2018,OK,Oklahoma,Alcohol,Chronic liver disease mortality
2018,2018,NH,New Hampshire,Alcohol,Chronic liver disease mortality
